"PMID","Title","abstract"
"11707350","Role of free oxygen radicals in noise-related hearing impairment.","This study was aimed at defining the relationship between noise-related hearing impairment in industrial workers exposed to continuous noise. For this malondialdehyde and glutathione peroxidase were analyzed as free radical form and antioxidant form. A total of 60 patients working in the units of a hydroelectric power plant were included in the study. This experimental group was further divided into three subgroups of 20 workers, each group exposed to a different noise level. The control group consisted of 20 male volunteers employed in the Medical Centre where the study was carried out. A standard ascending/descending method was applied to the subjects of the experimental and the control groups in order to determine their hearing thresholds at seven different frequencies between 250 and 8000 Hz. Then, 10 ml blood was collected from each person to measure the malondialdehyde values in plasma and glutathione peroxidase activity in erythrocytes. Slight sensorineural hearing impairment was found in group I beginning at 4 kHz and in group II beginning at 6 kHz. Statistically significant differences were observed in group I and II when compared to the control group (P&lt;0.05). It was found that malondialdehyde levels increased in the experimental groups more than in the control groups. However, this increase was only significant in group I (P&lt;0.05). Erythrocyte glutathione peroxidase activity significantly increased in group I and II compared to the other groups (P&lt;0.05), also, the difference was significant between group I and II (P&lt;0.05). Accordingly, it is suggested that free oxygen radicals may take a role in noise-related hearing impairment."
"11692623","[An epidemiological study regarding the hearing acuity of residents in the area with high level of aircraft noise: results of hearing tests conducted in the vicinity of Kadena Air Base].","Hearing tests, primary and secondary, were conducted in two communities vicinal to Kadena US Air Base in Okinawa from May 1996 to July 1998. The noise exposure expressed in WECPNL as designated by the Defense Facilities Administration Agency ranged from 85 to 95 and above. A total of 2035 subjects aged between 25 and 69 years inclusive were considered eligible for inclusion in this study and among them 137 males and 206 females underwent the primary test. Before the test, subjects were asked about hearing difficulty, tinnitus, otological anamnesis and past experience of noise exposure at work and/or hobbies. The primary test was a pure tone audiometry using the ascending method of limits with 5 dB step at 7 test frequencies of 0.5 to 8 kHz. Forty individuals who were judged to have possible noise induced hearing loss were sent to Okinawa Chubu Hospital as subjects for the secondary test. The secondary test consisted of pure tone audiometry with 1 dB step at 9 test frequencies with the addition of 3 kHz and 6 kHz to the primary test frequencies, a Short Increment Sensitivity Index (SISI), test, tympanometry and audioscan audiometry. Based on test findings 12 subjects were considered to have noise induced hearing loss. The examiners interviewed the 12 subjects again to confirm that they had not experienced habitual or repeated intense noise exposure other than aircraft noise exposure around their homes. The geographical distribution of the subject's residences showed their proximity to the airfield, which strongly suggests that the cause of hearing loss may be exposure to aircraft noise from Kadena Air Base."
"11678172","Long-term objective and subjective audiologic consequences of closed head injury.","During a period of 5 years, a total of 47 patients, 16-60 years of age, with major closed head injury (CHI) were admitted to 2 Swedish medical centres. Seven to 11 years after injury, 25 of them (mean age 40.8 years; range 25-59 years) were evaluated using peripheral and central auditory tests, and most of them also completed 2 questionnaires concerning self-assessed hearing ability and quality of life. Twenty-two patients did not participate in the long-term follow-up tests: 15 were excluded for medical reasons and 4 did not wish to participate; an additional 2 were impossible to trace and 1 had died. As many as 68% of patients (17/25) demonstrated abnormalities on 1 or more of the audiometric tests, 14 on pure-tone audiometry (p &lt; 0.02) and/or central audiometric tests (3 on central tests only and 2 on pure-tone audiometry only). Four out of six patients with available early post-traumatic audiograms showed a significant progressive deterioration. As a group, their assessments of hearing ability and quality of life were equal to or better than those of the controls. These results may indicate that a higher priority should be given to obtaining an early audiologic evaluation of every CHI patient than is the rule today. The impact of post-traumatic progress and central lesions on social hearing at an advanced age is highlighted."
"11582684","Differential diagnosis of occupational hearing loss.",""
"11500698","Occupational hearing loss.","Occupational hearing loss is a common work related problem that can be attributed to an offending agent in the workplace. This paper describes the different causes of occupational hearing loss and its compensation. Physicians should be aware of this preventable medical condition."
"11464397","Firefighters' hearing: a comparison with population databases from the International Standards Organization.","We investigated firefighters' hearing relative to general population data to adjust for age-expected hearing loss. For five groups of male firefighters with increasing mean ages, we compared their hearing thresholds at the 50th and 90th percentiles with normative and age- and sex-matched hearing data from the International Standards Organization (databases A and B). At the 50th percentile, from a mean age of 28 to a mean age of 53 years, relative to databases A and B, the firefighters lost an excess of 19 to 23 dB, 20 to 23 dB, and 16 to 19 dB at 3000, 4000, and 6000 Hz, respectively. At the 90th percentile, from a mean age of 28 to a mean age of 53 years, relative to databases A and B, the firefighters lost an excess of 12 to 20 dB, 38 to 44 dB, 41 to 45 dB, and 22 to 28 dB at 2000, 3000, 4000, and 6000 Hz, respectively. The results are consistent with accelerated hearing loss in excess of age-expected loss among the firefighters, especially at or above the 90th percentile."
"11463869","High-frequency (10-18 kHz) hearing thresholds: reliability, and effects of age and occupational noise exposure.","The objective was to investigate the reliability and effects of age and noise on high-frequency hearing thresholds. A cross-sectional study was used involving 187 exposed and 52 non-industrial noise-exposed subjects selected randomly from noise-exposed and non-industrial noise-exposed subjects, respectively. Each subject was tested with both conventional-frequency (0.25-8 kHz) and high-frequency (10-18 kHz) audiometry. Test-retest results showed that high-frequency audiometry (HFA) was as reliable as the conventional procedure. Although the inter-subject variation was large, the intra-subject variation was small, indicating that HFA can be used more reliably than the conventional procedure to monitor individual cases over time. Both the hearing threshold at high frequencies and the upper frequency limit deteriorated as a function of age and frequency. The exposed subjects had significantly higher hearing thresholds than the non-exposed subjects at all the high frequencies tested, the difference between the two groups being greatest at 14 kHz. Multivariate analysis indicated that age was the primary predictor and noise exposure the secondary predictor of hearing thresholds in a high frequency range (10-18 kHz). In contrast, multivariate analysis indicated the reverse order-noise exposure as the primary predictor, then age-for a conventional frequency range (0.25-8 kHz). The results of this study suggest that HFA might be used as an early indicator for noise-induced hearing loss and acoustic trauma rather than audiometry at a conventional frequency (4 kHz), particularly for younger groups."
"11398819","Noise-induced hearing loss among U.S. Air Force cryptolinguists.","BACKGROUND: Occupational noise-induced hearing loss remains epidemic in the U.S. Air Force (USAF) and aircrew members continue to be affected. This study examines noise-induced hearing loss (NIHL) observed among USAF cryptolinguists that is attributable to radio noise and attempts to determine whether the current USAF Hearing Conservation Program (HCP) adequately identifies NIHL.METHODS: Audiograms from 120 ground-based cryptolinguists were examined. Comparisons were made between 1998 audiograms and either the reference audiogram or the enlistment audiogram. To determine HCP effectiveness, results were compared with the USAF standard of 3% or fewer permanent threshold shifts (PTS) per year.RESULTS: Some 13.3% of the cryptolinguists experienced standard threshold shifts (STS) between their enlistment audiogram and their initial occupational (reference) audiogram; 9.2% experienced STS in 1998 as compared with their initial enlistment audiogram but only 6 of the 11 (54%) were detectable using the reference audiogram as the baseline. The frequency pattern of changes in hearing thresholds was characteristic for NIHL.CONCLUSIONS: The NIHL that occurs among cryptolinguists prior to performance of the reference audiogram, and the hearing threshold shifts that occur between the enlistment audiogram and the reference audiogram, may obscure future hearing loss in the population. The incidence of PTS appeared to exceed 3% when the enlistment audiogram was used. While this result was not significantly different from 3%, sample size limitations and data accuracy concerns warrant that this population be closely watched in the future."
"11387698","[Hearing loss is often too long misdiagnosed. Are we too loud? (interview by Dr. Brigitte Moreano)].",""
"11360697","A randomised controlled trial of screening for adult hearing loss during preventive health checks.","BACKGROUND: Prophylactic strategies to counter acquired hearing impairment may involve routine audiometric screening of asymptomatic working-age adults attending general practice for regular health checks.AIM: To evaluate the effect of adult hearing screening on subsequent noise exposure and hearing.DESIGN OF STUDY: A randomised controlled population-based study of health checks and health discussions in general practice.SETTING: The project was initiated in the district of Ebeltoft, Aarhus county, Denmark.METHOD: Intervention group participants' hearing thresholds were determined audiometrically at 0.5, 1, 2, 3, and 4 kHz in each ear. Participants were advised to get their ears checked if the average hearing loss exceeded 20 dB hearing level (dBHL) in either ear. Noise avoidance was emphasised when thresholds exceeded 25 dBHL bilaterally at 4 kHz. Follow-up included questionnaires and audiometry.RESULTS: Hearing loss was observed among 18.9% of the study sample at baseline. At the five-year follow-up we recorded no significant differences between the control and the intervention groups regarding subjective or objective hearing, or exposure to occupational noise. However, there was a tendency towards reduction in exposure to leisure noise among intervention participants (P = 0.045). Approximately 20% reported hearing problems; 16.5% reported tinnitus-related complaints; 0.8% used hearing aids; 35.0% reported frequent noise exposure; and occluding wax was suspected in 2.1%.CONCLUSION: Preventive health checks with audiometry did not significantly affect hearing, but leisure noise exposure tended to become less frequent. The poor effect may be ascribed to inadequate audiological counselling or a higher priority to other advice, e.g. on cardiovascular risk or lifestyle."
"11351289","The effects of noise on the vestibular system.","PURPOSE: Subjects with noise-induced hearing loss sometimes also complain about balance disorders, but reports of clinical series that give contradictory results are highly controversial. This study was designed to evaluate the effects of intense noise on the vestibular labyrinth, both in subjects with symmetrical hearing loss and in subjects with asymmetrical loss, and to examine the correlation between the subjects' complaints and the results of the vestibular function tests.METHODS: A total of 258 male military personnel, heavily exposed to various intense noises, were included in the study. They were divided into 2 groups according to their hearing; 134 had a symmetrical high-tone hearing loss, and 124 had asymmetrical losses. Each group was divided into 2 subgroups according to the presence or absence of vestibular complaints. All of the subjects underwent a complete audiological and electronystagmographic evaluation.RESULTS: We found that vestibular damage caused by intense noise exposure might be expressed clinically in subjects with asymmetrical hearing loss. There was a strong correlation between the subjects' complaints and the results of the vestibular function tests. There was no correlation between the severity of the hearing loss and the vestibular symptomatology and pathology.CONCLUSIONS: Subjects exposed to intense noise may have evidence of vestibular pathology only when there is an asymmetrical hearing loss. Whenever hearing loss is symmetrical, an equal damage to the vestibular system of both ears is most probably responsible for the absence of abnormal findings on the vestibular function tests. The results of this study have important medicolegal implications for individuals exposed to intense noises."
"11330914","Hearing assessment of classical orchestral musicians.","Pure-tone audiometry was performed on 140 classical orchestral musicians employed at the Gothenburg Symphony Orchestra and the Gothenburg Opera in Sweden. This report is based on the results from hearing threshold measurements, presented as median audiograms according to gender, age group and instrument group. The results did not show severe hearing losses that could be attributed to exposure to musical noise. However, the study reflects the subjects' present hearing ability status and does not give an answer to the question of future hearing dysfunction. Female musicians were shown to have significantly better hearing thresholds in the high-frequency area than did male musicians. Furthermore, the median pure-tone hearing thresholds for the male musicians displayed a notch configuration at 6 kHz in the left ear, similar that of to noise-induced hearing loss. A small, but in general not significant, difference was detected when comparing the median hearing thresholds between each instrument group. Percussion and woodwind players displayed slightly worse hearing thresholds than did other musicians. Players of large string instruments had the best hearing threshold values. When comparing age groups and gender it was noted that the median hearing thresholds were stable and within 20 dB HL up to the age group of 40-49 years for both females and males."
"11324845","High-frequency (8 to 16 kHz) reference thresholds and intrasubject threshold variability relative to ototoxicity criteria using a Sennheiser HDA 200 earphone.","OBJECTIVE: The first purpose of this study was to determine high-frequency (8 to 16 kHz) thresholds for standardizing reference equivalent threshold sound pressure levels (RETSPLs) for a Sennheiser HDA 200 earphone. The second and perhaps more important purpose of this study was to determine whether repeated high-frequency thresholds using a Sennheiser HDA 200 earphone had a lower intrasubject threshold variability than the ASHA 1994 significant threshold shift criteria for ototoxicity.DESIGN: High-frequency thresholds (8 to 16 kHz) were obtained for 100 (50 male, 50 female) normally hearing (0.25 to 8 kHz) young adults (mean age of 21.2 yr) in four separate test sessions using a Sennheiser HDA 200 earphone.RESULTS: The mean and median high-frequency thresholds were similar for each test session and increased as frequency increased. At each frequency, the high-frequency thresholds were not significantly (p &gt; 0.05) different for gender, test ear, or test session. The median thresholds at each frequency were similar to the 1998 interim ISO RETSPLs; however, large standard deviations and wide threshold distributions indicated very high intersubject threshold variability, especially at 14 and 16 kHz. Threshold repeatability was determined by finding the threshold differences between each possible test session comparison (N = 6). About 98% of all of the threshold differences were within a clinically acceptable range of +/-10 dB from 8 to 14 kHz. The threshold differences between each subject's second, third, and fourth minus their first test session were also found to determine whether intrasubject threshold variability was less than the ASHA 1994 criteria for determining a significant threshold shift due to ototoxicity. The results indicated a false-positive rate of 0% for a threshold shift &gt; or = 20 dB at any frequency and a false-positive rate of 2% for a threshold shift &gt;10 dB at two consecutive frequencies.CONCLUSIONS: This study verified that the output of high-frequency audiometers at 0 dB HL using Sennheiser HDA 200 earphones should equal the 1998 interim ISO RETSPLs from 8 to 16 kHz. Further, because the differences between repeated thresholds were well within +/-10 dB and had an extremely low false-positive rate in reference to the ASHA 1994 criteria for a significant threshold shift due to ototoxicity, a Sennheiser HDA 200 earphone can be used for serial monitoring to determine whether significant high-frequency threshold shifts have occurred for patients receiving potentially ototoxic drug therapy."
"11320877","[Injuries in the throat-nose-ear area by automobile air bags].","BACKGROUND: Airbags are successful in avoiding or in reducing serious injuries caused by motor vehicle accidents. On the other hand airbag deployment has led to a new kind of injuries. Only a few publications about that item exist. The experiences made with two patients after airbag deployment are described. The relevant literature is discussed.PATIENTS: Two patients after airbag injuries were examined. The face of the first patient hit a regularly expanding airbag. Afterwards his nose was obviously deformed. In the other case both front airbags of a car burst triggered by a frontal crash. The symptoms of this patient were painful itching skinlesions in his face, unilateral hearing loss and tinnitus.RESULTS: The first described patient had a clinical and radiological provable fracture of his nasal bone with a frontal impression. The facial skin of the other patient was etched by the filling gas of the airbags. He was also suffering from an acoustic trauma. These cases are compared to other cases found in the literature.CONCLUSIONS: Oto-rhino-laryngological injuries can be caused by airbag deployment, especially by bursting airbags. Beside of outward injuries like dermatological hurts and fractures of the facial skeleton also more serious and life-threatening traumata can occur with damage of the cervical spine and upper airway. Moreover otologic handicaps like temporary or permanent hearing loss, tinnitus, vertigo, otalgia and tympanic membrane perforations are possible consequences."
"11320627","[Underestimation of minor noise-induced hearing loss].",""
"11314916","The human temporary threshold shift after exposure to 60 minutes' noise in an aerobics class.","The potential hazard of noise to hearing is well documented. However, there are some experiences of noise-induced hearing loss (NIHL) that are not so well-known, for example the effects of leisure noise, and in particular, leisure noise experienced during an aerobics class. A preliminary study of the noise level in aerobics classes in the Manchester region was carried out and their mean noise level was found to be 89.6 dB(A) (+/-4.7 dB(A)). Pure tone thresholds in the audible frequency range were obtained from 28 young adult volunteers (mean age 21 years; standard deviation (SD) 2.3 years) and 14 subjects (the 'exposure' group) were then invited to join (but not participate in) an aerobics class (mean noise level 91.8 dB(A) (+/-1.5 dB(A)) for 60 minutes. The noise levels in the aerobics class were monitored throughout the 60 minutes and the subjects did not stray from a small marked area (2 m2). Subjects' hearing thresholds were obtained for a second time, beginning within 2 minutes of the cessation of the noise, and any temporary threshold shifts (TTS) were noted. A second group of 14 subjects (the control group) was invited for a second audiogram after at least 60 minutes, during which time subjects were not exposed to any noise. The data obtained here were analysed and of the 14 subjects in the exposure group all had significant TTS at all frequencies except 1,000 Hz. Subjects in the control group, who had not experienced any noise, showed significantly reduced hearing thresholds (all frequencies; p&gt;0.02), showing evidence of a possible practice effect with audiometric testing."
"11297719","Effects of a 2- to 4-week course of repetitive transcranial magnetic stimulation (rTMS) on neuropsychologic functioning, electroencephalogram, and auditory threshold in depressed patients.","BACKGROUND: The safety of repetitive transcranial magnetic stimulation (rTMS) has only previously been formally studied in volunteers receiving a single session of stimulation or in a small number of depressed subjects receiving a 2-week treatment course. This study examined safety issues in depressed subjects receiving up to 4 weeks of rTMS. Efficacy results from this study have been previously reported.METHODS: Eighteen subjects with DSM-IV major depression participated in a 2-week, parallel, double-blind, sham-controlled study of rTMS treatment. Twelve subjects then went on to receive 4 weeks active rTMS in an open follow-up. We examined the effects of rTMS on neuropsychologic function (up to 4 weeks), auditory threshold (up to 6 weeks exposure to rTMS noise), and an electroencephalogram (after 2 weeks). Data were analyzed by repeated measures analysis.RESULTS: There were trends for improvement in neuropsychologic performance, probably due to practice effects. No mean changes in auditory threshold occurred, but two patients showed mild high-frequency hearing loss after several weeks of rTMS. Electroencephalograms in two patients, one of whom had sham stimulation, showed minor abnormality.CONCLUSIONS: No significant mean deficits were demonstrated in this cohort. Overall, rTMS for up to 4 weeks is safe, but individual results suggest caution and the need for further investigation of the safety of several weeks of rTMS."
