"PMID","Title","abstract"
"11683452","Hearing development in classical orchestral musicians. A follow-up study.","Using pure tone audiometry in 1995, a hearing reassessment was made in 56 classical musicians who participated in Axelsson &amp; Lindgren's study 16 years earlier, in 1979. This study focuses on hearing development in these classical orchestra musicians, active in Göteborg, Sweden. The aim of the study is to evaluate the risk of progressive hearing loss during work in a classical orchestra. Another aim is to study possible hearing differences in females and males and to compare the high frequency pure-tone average values found in the study with two normal materials. The main findings were that the male, compared to the female musicians, showed a tendency toward a more pronounced, although not significant, hearing reduction in the high frequency region and higher threshold distribution within the 90th percentile than the females. This was found most often in the left ear. The median audiogram for all females showed a notch configuration at 6 kHz, compared to the males who had a high-tone sloping configuration. When comparing high frequency pure-tone average (HFPTA) values with ISO 7029, the females are distributed around the ISO 7029 median and well within the 90th percentile. The average among the males was equal with the median. Comparison with Davis normal population &quot;all the sample, overall occupational group&quot; showed a more even distribution of the HFPTA values around the median for both females and males on both occasions. This follow-up study showed no extended negative progress of the pure-tone hearing threshold values in spite of an additional 16 years of musical noise exposure."
"11582684","Differential diagnosis of occupational hearing loss.",""
"11500698","Occupational hearing loss.","Occupational hearing loss is a common work related problem that can be attributed to an offending agent in the workplace. This paper describes the different causes of occupational hearing loss and its compensation. Physicians should be aware of this preventable medical condition."
"11464397","Firefighters' hearing: a comparison with population databases from the International Standards Organization.","We investigated firefighters' hearing relative to general population data to adjust for age-expected hearing loss. For five groups of male firefighters with increasing mean ages, we compared their hearing thresholds at the 50th and 90th percentiles with normative and age- and sex-matched hearing data from the International Standards Organization (databases A and B). At the 50th percentile, from a mean age of 28 to a mean age of 53 years, relative to databases A and B, the firefighters lost an excess of 19 to 23 dB, 20 to 23 dB, and 16 to 19 dB at 3000, 4000, and 6000 Hz, respectively. At the 90th percentile, from a mean age of 28 to a mean age of 53 years, relative to databases A and B, the firefighters lost an excess of 12 to 20 dB, 38 to 44 dB, 41 to 45 dB, and 22 to 28 dB at 2000, 3000, 4000, and 6000 Hz, respectively. The results are consistent with accelerated hearing loss in excess of age-expected loss among the firefighters, especially at or above the 90th percentile."
"11463869","High-frequency (10-18 kHz) hearing thresholds: reliability, and effects of age and occupational noise exposure.","The objective was to investigate the reliability and effects of age and noise on high-frequency hearing thresholds. A cross-sectional study was used involving 187 exposed and 52 non-industrial noise-exposed subjects selected randomly from noise-exposed and non-industrial noise-exposed subjects, respectively. Each subject was tested with both conventional-frequency (0.25-8 kHz) and high-frequency (10-18 kHz) audiometry. Test-retest results showed that high-frequency audiometry (HFA) was as reliable as the conventional procedure. Although the inter-subject variation was large, the intra-subject variation was small, indicating that HFA can be used more reliably than the conventional procedure to monitor individual cases over time. Both the hearing threshold at high frequencies and the upper frequency limit deteriorated as a function of age and frequency. The exposed subjects had significantly higher hearing thresholds than the non-exposed subjects at all the high frequencies tested, the difference between the two groups being greatest at 14 kHz. Multivariate analysis indicated that age was the primary predictor and noise exposure the secondary predictor of hearing thresholds in a high frequency range (10-18 kHz). In contrast, multivariate analysis indicated the reverse order-noise exposure as the primary predictor, then age-for a conventional frequency range (0.25-8 kHz). The results of this study suggest that HFA might be used as an early indicator for noise-induced hearing loss and acoustic trauma rather than audiometry at a conventional frequency (4 kHz), particularly for younger groups."
"11431958","Effects of stimulus intensity on sound localization in the horizontal and upper-hemispheric median plane.","Sound lateralization ability with headphones is known to be affected by stimulus intensity. However, there have been few studies on sound localization with loudspeakers in free field from the standpoint of stimulus intensity. The aim of this study is to obtain basic data for the tests with normal hearing and hearing-impaired subjects, and for the fitting of a hearing aid. The author investigated the relationship between stimulus intensities and sound localization ability of the broadband noise and pure tone bursts delivered in the horizontal and upper-hemispheric median planes. Subjects were ten volunteers, 5 males and 5 females, at the age of 18-19 years, with normal hearing. The results showed well how subjects perceived directions at all stimulus intensities. The percentage of correct response (%correct) for broadband noise stimuli was maximum at the intensity from 40 to 70 dB SPL (sound pressure level), and was minimum at 0 to 20 dB SPL in both the horizontal plane and the upper-hemispheric median plane. At lower stimulus intensity, examinee could not judge the direction, even if they could hear the stimuli. For pure tone bursts stimuli in the upper-hemispheric median plane, %correct was low irrespective of stimulus intensity."
"11409787","Characteristics of the audiometric notch as a clinical sign of noise exposure.","This study investigated variability in audiometric notch recognition by asking three clinicians to identify notches in the audiograms of 634 noise-exposed employees. Agreement between the raters was assessed, and three notch characteristics, frequency, depth and shape (a wide or narrow notch), were investigated as recognition factors. The proportions of positive tests reported by each rater were 0.26, 0.49 and 0.68, respectively. The 'all rater' index of agreement was 0.45, and the range for pairwise comparisons was 0.14 to 0.52. With recognition factors, rater 1 was most strongly influenced by depth, rater 2 by shape and rater 3 by a possible combination of criteria. To reduce variability we suggest that narrow notches should be at least 15 dB in depth, and that broad notches should have a depth of 20 dB, with a recovery of at least 10 dB at the high end. Care should also be taken to elicit a sufficient history of noise exposure, and ensure that there are no other explanations for the notch."
"11398819","Noise-induced hearing loss among U.S. Air Force cryptolinguists.","BACKGROUND: Occupational noise-induced hearing loss remains epidemic in the U.S. Air Force (USAF) and aircrew members continue to be affected. This study examines noise-induced hearing loss (NIHL) observed among USAF cryptolinguists that is attributable to radio noise and attempts to determine whether the current USAF Hearing Conservation Program (HCP) adequately identifies NIHL.METHODS: Audiograms from 120 ground-based cryptolinguists were examined. Comparisons were made between 1998 audiograms and either the reference audiogram or the enlistment audiogram. To determine HCP effectiveness, results were compared with the USAF standard of 3% or fewer permanent threshold shifts (PTS) per year.RESULTS: Some 13.3% of the cryptolinguists experienced standard threshold shifts (STS) between their enlistment audiogram and their initial occupational (reference) audiogram; 9.2% experienced STS in 1998 as compared with their initial enlistment audiogram but only 6 of the 11 (54%) were detectable using the reference audiogram as the baseline. The frequency pattern of changes in hearing thresholds was characteristic for NIHL.CONCLUSIONS: The NIHL that occurs among cryptolinguists prior to performance of the reference audiogram, and the hearing threshold shifts that occur between the enlistment audiogram and the reference audiogram, may obscure future hearing loss in the population. The incidence of PTS appeared to exceed 3% when the enlistment audiogram was used. While this result was not significantly different from 3%, sample size limitations and data accuracy concerns warrant that this population be closely watched in the future."
"11373184","Integrated estimation of the effect of physical factors on human functional state during mental work.","The purpose of this study was to develop a model for an integrated estimation of the functional state of the human organism (FSHO) and an integral estimation of physical factors (PF) for hygienic rating. Tests were performed twice with 3 men in 0.7-clo clothing during 4-hr mental work with 9 combinations of 4 PF: wideband noise (55- 83 dB(A)), whole-body vibration (6 Hz, a(z) = 0.2-1.8 ms(-2)), air temperature (18-30 degrees C), and illumination (1, 3, 5 lx). Thermoregulatory, cardiovascular, and psychophysiological reactions and temporary threshold of hearing (TTS2) shifts were studied. For the integral estimation of PF influence on FSHO the model F(y1,y2..........ym) = f(x1,x2,.......xn) was used, relating both FSHO and PF sets. The most important physiological parameters in creating FSHO are defined and the contribution of individual parameters of FSHO and PF is found."
"11360697","A randomised controlled trial of screening for adult hearing loss during preventive health checks.","BACKGROUND: Prophylactic strategies to counter acquired hearing impairment may involve routine audiometric screening of asymptomatic working-age adults attending general practice for regular health checks.AIM: To evaluate the effect of adult hearing screening on subsequent noise exposure and hearing.DESIGN OF STUDY: A randomised controlled population-based study of health checks and health discussions in general practice.SETTING: The project was initiated in the district of Ebeltoft, Aarhus county, Denmark.METHOD: Intervention group participants' hearing thresholds were determined audiometrically at 0.5, 1, 2, 3, and 4 kHz in each ear. Participants were advised to get their ears checked if the average hearing loss exceeded 20 dB hearing level (dBHL) in either ear. Noise avoidance was emphasised when thresholds exceeded 25 dBHL bilaterally at 4 kHz. Follow-up included questionnaires and audiometry.RESULTS: Hearing loss was observed among 18.9% of the study sample at baseline. At the five-year follow-up we recorded no significant differences between the control and the intervention groups regarding subjective or objective hearing, or exposure to occupational noise. However, there was a tendency towards reduction in exposure to leisure noise among intervention participants (P = 0.045). Approximately 20% reported hearing problems; 16.5% reported tinnitus-related complaints; 0.8% used hearing aids; 35.0% reported frequent noise exposure; and occluding wax was suspected in 2.1%.CONCLUSION: Preventive health checks with audiometry did not significantly affect hearing, but leisure noise exposure tended to become less frequent. The poor effect may be ascribed to inadequate audiological counselling or a higher priority to other advice, e.g. on cardiovascular risk or lifestyle."
"11320627","[Underestimation of minor noise-induced hearing loss].",""
"11318022","Double hearing protection and speech intelligibility-room for improvement.","INTRODUCTION: Double hearing protection is used in many air forces around the world for protection in noisy aircraft environments, particularly in helicopters. The usual combination is foam ear plugs under headset or helmet muffs. Much of the research that spurred the introduction of foam earplugs indicated little change in speech intelligibility in persons with normal hearing. However, aircrew often complain about having to maximize intercom volume for speech understanding, causing a situation with no reserve volume and bad sound quality. In recent years, further developments have included so-called hi-fi plugs and custom made ear plugs which are claimed to improve speech communication. The aim of the present project was to investigate different types of ear plugs and their effect on speech intelligibility in helicopter noise.METHODS: Each of nine normal-hearing pilot subjects were placed in an environment of recorded helicopter noise from a BO-105 helicopter. Speech audiometry was performed under four different conditions: headset only, and three different ear plugs worn under the headset. Fitting of the ear plugs was performed by an ear, nose and throat specialist to ensure similar conditions. The sequence of test conditions was randomized and double-blind. In addition, a subjective rating scale was used.RESULTS: Wearing foam ear plugs under the headset decreased speech intelligibility dramatically. The &quot;hi-fi&quot; plug was somewhat better than foam plugs, and the custom made ear plug provided a speech intelligibility close to the headset-only situation. Subjective rating scores coincided with these findings.DISCUSSION: In helicopter noise, custom made ear plugs may provide a much improved speech intelligibility over conventional plugs when worn under a headset, while maintaining improved noise protection over the headset-alone situation. Custom made ear plugs might therefore be a good alternative to other forms of enhanced noise protection in helicopters."
"11268809","[Audiometric surveillance of occupational environment].","Noise levels in Danish workplaces at which hearing impairment will occur in more than 10% of the workers are still frequent. Annually 300 cases are compensated for noise induced hearing loss at a national level. This may indicate that the current national hearing protection strategy, which relies on noise reduction only, is insufficient. By audiometric screening early hearing loss will be detected and further progression may be halted. This paper reviews the methods of continuous audiometric screening of noise exposed worker populations. Reliability and validity are discussed, and an overview of quality assurance programmes is given. It is concluded that a national hearing conservation program should be implemented in Denmark."
"11257914","Noise-induced hearing loss among textile workers in Lagos metropolis.","A cross-sectional sample of 204 textile workers was selected randomly from all sections (including the non-production areas), and was initially screened to exclude subjects with pathological middle ear as well as those currently working in sections classified as non-noise but who had been exposed to excessive noise in the past. A total of 17 workers were thus excluded leaving 187 who were then assessed by means of air-conduction and bone-conduction audiograms obtained by the use of a manual (medicor-SA 3L), pure-tone audiometer. All audiometric tests were preceded by an otological examination to rule out the presence of any significant aural pathological conditions. The subjects were divided into 3 groups, based on the noise levels observed at their worksites using a Bruel and Kjaer type 2225 (integrating) sound level meter viz: the noise-exposed group (noise levels &gt; 90 dBA); the less-noise-exposed group (noise levels 85-90 dBA); and the non-noise-exposed group (noise levels &lt; 85 dBA). A comparative analysis of the data on hearing threshold levels of the 3 groups showed that the noise-exposed group had significantly (P &lt; 0.05) elevated hearing threshold levels at all frequencies and in each age group, although the maximal threshold shifts were observed at the 4000 Hz frequency. Also, the hearing threshold levels for the noise-exposed group increased with the duration of noise exposure. The study clearly showed the deleterious effects of uncontrolled occupational noise exposure on unprotected workers. A very high prevalence rate of noise-induced hearing loss (79.8%) was recorded for the noise-exposed group. The less-noise-exposed group recorded a comparatively low figure of 11.3%. The weaving section alone recorded the highest prevalence rate of 84.5%, followed very closely by the spinning section with 71.0%. The lowest prevalence rate (2.9%) was recorded for the administrative staff."
"11247239","[Detection of the central hearing defects in persons exposed to industrial noise by duration of the rise and fall of sound signals].","Hearing was studied using speech, audiometer MA-31 and rise and fall of loudness in 365 workers exposed to industrial noise only and 86 workers exposed to noise and dust containing lead. Identification of the front of growing loudness was impaired more in persons exposed to lead-containing dust; therefore they have more serious central hearing defects."
"11209517","The effect of recreational gunfire noise on hearing in workers exposed to occupational noise.","Hearing sensitivity for an experimental group of 278 industrial workers who engaged in recreational shooting was compared with that of an age-matched control group of 278 nonshooting industrial workers to examine the effect of gunfire exposure on auditory thresholds. The influence of age and the number of unprotected gunshot exposures per year also was examined. The subjects in the experimental group completed a questionnaire to define the types of firearms used, the number of years shooting, and the number of protected and unprotected gunshot exposures per year. Results revealed that hearing sensitivity for frequencies 3.0, 4.0, and 6.0 kHz for both ears in the experimental group was an average of approximately 5 to 10 dB poorer than that of the control subjects. Although both subject groups demonstrated poorer 3.0-to-6.0-kHz hearing sensitivity for left-ear compared with right-ear listening, the degree of asymmetry between ears was greater for the experimental subjects. Older shooters had more hearing loss and greater threshold asymmetry than younger shooters, but there was no significant relationship between hearing sensitivity and the number of unprotected exposures per year. This latter finding was attributed to a fourfold increase in the number of unprotected annual exposures that were reported by younger shooters, who had inherently better hearing than did the older shooters."
"12486782","Changes over time in audiometric thresholds in a group of automobile stamping and assembly workers with a hearing conservation program.","Noise induced hearing loss (NIHL) is among the 10 leading occupational diseases, afflicting between 7.4 and 10.2 million people who work in noise above 85 dBA. Although mandatory hearing conservation programs (HCPs) have been in effect since 1972, this problem persists, as hearing protectors are not consistently used by workers, or may not attenuate to manufacturer's estimates in real world conditions. In this study, information from noise and hearing protection use measurements taken at an automobile assembly plant were used to construct average lifetime noise exposure and hearing protection compliance estimates for use in modeling to predict both total hearing loss and onset of two accepted definitions of hearing loss. There were 301 males and females in this cohort; their mean age was 42.6 (7.2) years, and mean tenure was 14.3 (3.5) years. Average length of follow-up was 14.0 years. There were 16 members of this cohort who had hearing loss at the speech frequencies (defined as an average hearing level &gt; or = 25 dB at 500, 1000, and 2000 Hz). In cross-sectional multivariate analyses, years of employment, male gender, and proportion of time wearing hearing protection were the factors most associated with hearing loss at the average of 2000, 3000, and 4000 Hz (p &lt; 0.0001) controlling for age, transfer status (as a surrogate for previous noise exposure), race, and lifetime average noise exposure. The most consistent predictor of hearing loss in both univariate and multivariate analyses was percentage of time having used hearing protection during the workers' tenure."
"12474408","[Hearing disorders among private farmers in Poland].","The studies of the state of hearing were conducted among a selected group of 128 farmers, aged 28-65 years with employment ranging from 11 to 40 years. The study design covered physical laryngologic examinations, detailed otologic medical history and proper audiometric tests (air and bone conduction). The results of the study showed that the highest mean values of hearing loss remained mostly within two high frequencies of 4 and 6 kHz and were 34.9-39.7 d B. These frequencies are typical of acoustic trauma. A highly statistically significant correlation (p &lt; 0.001) was observed between hearing loss and age (r = 0.32-0.53 for 3-8 kHz), while a slightly weaker correlation was noted between hearing loss and employment duration (r = 0.20-0.27 for 3-8 kHz; p &lt; 0.01). The mean values of hearing loss obtained among farmers were considerably enhanced, compared to the control group (42 people aged 29-59 years), the difference being very high statistically (p &lt; 0.001). The studies of the state of private farmers' hearing clearly confirm the hypothesis that an excessive exposure to noise present in the farming equipment, is the major cause of the decreased hearing among farmers."
"12378814","[Evaluation and analysis of impulse noise and study of its influence on hearing organ using otoacoustic emissions].",""
"12227672","Audiometric findings in workers exposed to low levels of styrene and noise.","Audiometry and exposure measurements were conducted on workers from fiberglass and metal products manufacturing plants and a mail distribution terminal (N = 313). Workers exposed to noise and styrene had significantly worse pure-tone thresholds at 2, 3, 4, and 6 kHz when compared with noise-exposed or nonexposed workers. Age, noise exposure, and urinary mandelic acid (a biologic marker for styrene) were the variables that met the significance level criterion in the multiple logistic regression. The odds ratios for hearing loss were 1.19 for each increment of 1 year of age (95% confidence interval [CI], 1.11-1.28), 1.18 for every decibel &gt;85 dB(A) of noise exposure (95% CI, 1.01-1.34), and 2.44 for each millimole of mandelic acid per gram of creatinine in urine (95% CI, 1.01-5.89). Our findings suggest that exposure to styrene even below recommended values had a toxic effect on the auditory system."
"12186037","Distribution of risk factors for hearing loss: implications for evaluating risk of occupational noise-induced hearing loss.","This paper presents an analysis of hearing threshold levels among 2066 white male workers employed in various U.S. industries studied in the 1968-72 NIOSH Occupational Noise and Hearing Survey (ONHS). The distribution of hearing threshold levels (HTL) is examined in relation to various risk factors (age, prior occupational noise, medical conditions) for hearing loss among a population of noise exposed and control (low noise-exposed) industrial workers. Previous analyses of a subset of these data from the ONHS focused on 1172 highly &quot;screened&quot; workers. An additional 894 male workers (609 noise-exposed and 285 controls), who were excluded for various reasons (i.e., nonoccupational noise exposure, otologic or medical conditions affecting hearing, prior occupational noise exposure) have been added to examine hearing loss in an unscreened population. Data are analyzed by age, duration of exposure, and sound level (8-h TWA) by individual test frequency. Results indicate that hearing threshold levels are higher among unscreened noise-exposed and control workers relative to screened workers. Analysis of risk factors such as nonoccupational noise exposure, medical conditions, and type of industry among unscreened controls indicated that these factors were not significantly associated with increased mean HTLs or risk of material impairment over and above what is expected due to age. Age-specific mean hearing threshold levels (and percentiles of the distribution) among the unscreened ONHS control population may be used as a comparison population of low-noise exposed white male industrial workers for evaluating the effectiveness of hearing conservation programs for workers less than 55 years of age. To make valid inferences regarding occupational noise-induced hearing loss, it is important to use hearing data from reference (control) populations that are similar with respect to the degree of subject screening, type of work force (blue vs white collar), and the distribution of other risk factors for hearing loss."
