"PMID","Title","abstract"
"11808724","Personal and social conditions potentially influencing women's hearing loss management.","Little gender-specific data related to hearing loss and hearing loss management are available. The purpose of this investigation was to examine personal and social conditions affecting women at selected stages of the adult life course that may influence hearing loss management. In all, 191 women in three age groups, ranging from 35 to 85 years old, participated. None reported hearing problems. Participants completed a demographic data form and were given a standard audiometric evaluation to confirm age-normal hearing. Each completed assessments of speech understanding in quiet and noise, auditory signal duration discrimination, and binaural processing. Measures of hearing knowledge, behaviors, and attitudes; health-related locus of control; ego strength; and, social support were administered. Results revealed that although some variables deteriorate among subsequent age groups (i.e., hearing thresholds, central auditory processing, and ego strength), the reverse is true for others (i.e., social interaction and satisfaction with income). Age-specific sociodemographic burdens that may interfere with hearing loss management were noted. New psychosocial data are revealed against which women and men with impaired hearing may be compared."
"11801925","Verification of improved patient outcomes with a partially implantable hearing aid, The SOUNDTEC direct hearing system.","INTRODUCTION: Partially implantable hearing devices have been developed to address some of the user-perceived shortcomings of standard amplification systems. Partially implantable devices are purported to provide improved sound quality as a result of decreased occlusion, decreased feedback, and enhanced clarity resulting from increased high-frequency gain. Such improvements may result in greater user satisfaction. To justify selection of a partially implantable device and undergoing a minor surgical procedure, verification techniques must be used to document user improvement or increased satisfaction over conventional amplification.OBJECTIVE: To evaluate patient satisfaction with the SOUNDTEC direct hearing system.STUDY DESIGN: Within-subjects repeated measures design.METHODS: Objective and subjective evaluation pre- and post-implantation with the SOUNDTEC device. Verification techniques included tonal functional gain measures with traditional amplification and the SOUNDTEC device, word recognition in quiet (NU-6) and in noise (SPIN), the Abbreviated Profile of Hearing Aid Benefit (APHAB), and the Hough Ear Institute Profile (HEIP).RESULTS: Although there was no significant difference between optimal traditional amplification and the SOUNDTEC device for speech perception measures, the SOUNDTEC device yielded statistically significant increased high-frequency functional gain. Subjective reports indicated that the SOUNDTEC device provides a cleaner, more natural sound without feedback than traditional amplification.CONCLUSIONS: Partially implantable hearing aids may address some of the limitations of traditional amplification systems."
"11770672","Comparing loudness normalization (IHAFF) with speech intelligibility maximization (NAL-NL1) when implemented in a two-channel device.","OBJECTIVE: At least two rationales are available for fitting wide dynamic range compression hearing aids. The goal of one rationale is to normalize loudness, and the goal of the second rationale is to maximize speech intelligibility. Neither rationale has been validated against other fitting rationales for the range of input levels common to the hearing aid user in the real world. The goal of the study was to compare the two rationales when implemented in a 2-channel compression hearing aid.DESIGN: Loudness normalization and speech intelligibility maximization were implemented using the Independent Hearing Aid Fitting Forum (IHAFF) and the National Acoustic Laboratories' Nonlinear (NAL-NL1) prescriptive formulas. Twenty-four subjects (eight for each of three groups of mild flat, moderate/severe flat, and steeply sloping hearing loss) participated in the study. Each subject completed an initial laboratory test, field test, and final laboratory test. The laboratory test consisted of a paired-comparison judgment for each prescriptive formula using four stimuli under both quiet and noisy listening conditions and a sentence recognition test using Bamford-Kowal-Bench sentences. In the field test, subjects evaluated the two rationales in individually selected everyday listening conditions for 4 wk. A digital simulation of the fitting rationales implemented in two channels was used for laboratory testing and a digital 2-memory, 2-channel device was used for field testing. Subjects adjusted the overall gain of each response to their preferred listening level in both the laboratory and in the field.RESULTS: Data collected in the laboratory before and after the field test showed no indication of significant learning or acclimatization effects. For each stimulus presented in the paired-comparison test more subjects preferred NAL-NL1 than preferred IHAFF. For the sentence recognition test, subjects performed significantly better with NAL-NL1 than IHAFF in a low-frequency weighted background noise. Sixteen out of 22 subjects who completed the field test reported a preference for the NAL-NL1 response. The remaining six subjects preferred IHAFF. The paired-comparison test and field test revealed that while the achieved root-mean-square (rms) difference between fittings for an input level of 65 dB SPL was small, the preference for either rationale was small. As the rms difference between fittings increased, the score in favor of NAL-NL1 increased. The correlation between the differences in satisfaction score obtained in the field test and the rms differences between the responses fitted was statistically significant.CONCLUSIONS: When the two fitting rationales prescribed substantially different responses for a 65 dB SPL input and these differences were achieved in the fitting, then the subjects preferred NAL-NL1. Even when the difference between fittings was small, the subjects preferred and performed better with NAL-NL1 when listening in a low-frequency weighted background noise."
"12701753","Bone-anchored hearing aids in unilateral inner ear deafness.","In nine patients with unilateral deafness and normal hearing in the contralateral ear, measurements of sound localization and speech perception were obtained before intervention, with a conventional contralateral routing of sound (CROS) hearing aid and later with a bone-anchored hearing aid (BAHA) implanted in the deaf ear. Sound localization did not show any differences between the three conditions. Speech perception using short, everyday sentences showed a reduction in the head-shadow effect of 2 dB for both the conventional CROS hearing aid and the BAHA in comparison to the unaided condition. Patients' real-life experiences of the three conditions were evaluated using the Abbreviated Profile of Hearing Aid Benefit (APHAB) questionnaire. The results showed a significant benefit with the BAHA in situations involving background noise and reverberation and a reduced aversion to loud sounds in comparison to the unaided and conventional CROS conditions."
"12647894","An examination of changes in hearing-aid performance and benefit in the elderly over a 3-year period of hearing-aid use.","This brief report describes the changes in hearing-aid performance and benefit in 9 elderly hearing-aid wearers over a 3-year period following the hearing-aid fitting. Objective measures of hearing-aid performance included three measures of speech recognition: (a) the Nonsense Syllable Test (NST) presented at 65 dB SPL and a +8 dB signal-to-noise ratio (SNR), (b) the Connected Speech Test (CST) presented at 50 dB SPL in quiet, and (c) the CST presented at 65 dB SPL and a +8 dB SNR. Subjective, self-report measures of hearing-aid benefit included the Hearing Aid Performance Inventory (HAPI; B. E. Walden, M. E. Demorest, &amp; E. L. Helper, 1984) and the Hearing Handicap Inventory for the Elderly (HHIE; I. Ventry &amp; B. Weinstein, 1982). Performance and benefit measures were obtained at postfit intervals of 1 month, 6 months, 1 year, 2 years, and 3 years using a standardized measurement protocol. Individual data were evaluated using 95% critical differences established previously for each benefit measure and applied around the scores observed at the 1-month postfit interval. Little evidence was seen for systematic improvement in aided performance or benefit, consistent with that expected from acclimatization, in any participant or for any measure of benefit."
"12544032","Comparison of the bone anchored hearing aid implantable hearing device with contralateral routing of offside signal amplification in the rehabilitation of unilateral deafness.","OBJECTIVE: Monaural hearing imposes constraints under many listening conditions. The authors compared the effects of a semi-implantable bone conductor, the Entific bone anchored hearing aid, with conventional contralateral routing of offside signal amplification to assess rehabilitative benefit in adults with unilateral deafness.DESIGN: Prospective trials of subjects with unilateral deafness using benefit surveys, source identification testing, and hearing in noise testing.SETTING: Tertiary referral center, outpatient surgical and audiologic services.PATIENTS: Adults with unilateral deafness (pure tone average &gt;90 dB, SD &lt;20%) after acoustic neuroma excision (n = 7), meningitis (n = 1), sudden sensorineural hearing loss (n = 1), and sudden sensorineural hearing loss with chronic suppurative otitis media (n = 1). Entry criteria included normal hearing in the contralateral ear (pure tone average &lt;25 dB, SD &gt;80%).INTERVENTION: Subjects were fitted with contralateral routing of offside signal amplification devices for 1 month and tested with contralateral routing of offside signal before mastoid implantation of the deaf ear, fitting, and testing for bone anchored hearing aid.OUTCOME MEASURES: Subjects' assessment of experience with their devices and patterns of use, 2) source azimuth identification in noise test, and 3) speech discrimination in quiet and in noise under conditions of noise-front, noise-to-normal-ear, and noise-to-deaf-ear.RESULTS: There was consistent satisfaction with bone anchored hearing aid implantation and amplification, and poor acceptance of contralateral routing of offside signal amplification. Sound localization was poor at baseline and with both bone anchored hearing aid and contralateral routing of offside signal. Relative to baseline, contralateral routing of offside signal and bone anchored hearing aid produced significantly better speech recognition in noise under most conditions. The bone anchored hearing aid enabled significantly better speech recognition than contralateral routing of offside signal in quiet and in a composite of noise conditions. The advantages may relate to averting the interference of speech signals delivered to the better ear, as occurs with conventional contralateral routing of offside signal amplification.CONCLUSIONS: Preliminary data in subjects with normal monaural hearing indicate that vibromechanical stimulation with the bone anchored hearing aid overcomes some of the negative head shadow effects in unilateral deafness. The bone anchored hearing aid system, when placed on the side of a deaf ear, yields greater benefit in subjects with normal monaural hearing than does contralateral routing of offside signal amplification. It seems that this rehabilitative approach can expand the sound field of monaural listeners in further enhancing speech understanding. Observations suggest that further understanding of bone conduction as implemented in transcranial stimulation will guide further options for patients with monaural hearing. Longer follow-up will help to determine whether communicative skill improvements with the bone anchored hearing aid outweigh the disadvantages of implantation surgery, costs, and device maintenance."
"15603458","Comparison of speech perception in background noise with acceptance of background noise in aided and unaided conditions.","Background noise is a significant factor influencing hearing-aid satisfaction and is a major reason for rejection of hearing aids. Attempts have been made by previous researchers to relate the use of hearing aids to speech perception in noise (SPIN), with an expectation of improved speech perception followed by an increased acceptance of hearing aids. Unfortunately, SPIN was not related to hearing-aid use or satisfaction. A new measure of listener reaction to background noise has been proposed. The acceptable noise level (ANL), expressed in decibels, is defined as a difference between the most comfortable listening level for speech and the highest background noise level that is acceptable when listening to and following a story. The ANL measure assumes that speech understanding in noise may not be as important as is the willingness to listen in the presence of noise. It has been established that people who accept background noise have smaller ANLs and tend to be &quot;good&quot; users of hearing aids. Conversely, people who cannot accept background noise have larger ANLs and may only use hearing aids occasionally or reject them altogether. Because this is a new measure, it was important to determine the reliability of the ANL over time with and without hearing aids, to determine the effect of acclimatization to hearing aids, and to compare the ANL to well-established measures such as speech perception scores collected with the SPIN test. Results from 50 listeners indicate that for both good and occasional hearing aid users, the ANL is comparable in reliability to the SPIN test and that both measures do not change with acclimatization. The ANLs and SPIN scores are unrelated. Although the SPIN scores improve with amplification, the ANLs are unaffected by amplification, suggesting that the ANL is inherent to an individual and can be established prior to hearing aid fitting as a possible predictor of hearing-aid use."
"15592858","Detecting components of hearing aid fitting using a self-assessment-inventory.","The evaluation of hearing-aid fitting includes numerous assessments such as electro- and psychoacoustic tests. The subjective estimation of the hearing aid user can be elicited with self-assessment inventories encompassing various parameters, e.g., benefit, satisfaction and usage. A questionnaire comprising 11 domains (disability, handicap, frequency and significance of the listening situation, importance of the hearing aid, expectation, demand, aided performance, benefit, satisfaction and usage) within three different conditions (speech in quiet and in noise and listening to sounds) was used to detect components underlying hearing aid fitting. The data show a three-factor structure (situation-, restriction- and aid-related variables) independent from the conditions. Usage depends on all of the three factors. Disability and handicap reveal the highest values for speech in noise, whereas the aid-related factor shows the lowest values for this condition. Global satisfaction with the hearing aid is significantly correlated with the aid-related factor, but independent from the restriction of hearing. The aid-related factor is positively influenced by the amount of social activity because more active persons report higher benefit and satisfaction for all listening conditions. Age does not exhibit a significant relationship to one of the components. Basically, all correlation coefficients are only intermediate, revealing that inter-individual differences of the patients are rather high. The data indicate that extra-audiological factors might also play an important role in the success of hearing aid fitting."
"15506497","Relationship between laboratory measures of directional advantage and everyday success with directional microphone hearing aids.","The improvement in speech recognition in noise obtained with directional microphones compared to omnidirectional microphones is referred to as the directional advantage. Laboratory studies have revealed substantial differences in the magnitude of the directional advantage across hearing-impaired listeners. This investigation examined whether persons who were successful users of directional microphone hearing aids in everyday living tended to obtain a larger directional advantage in the test booth than persons who were unsuccessful users. Results revealed that the mean directional advantage did not differ significantly between patients who used the directional mode regularly and those who reported little or no benefit from directional microphones in daily living and, therefore, tended to leave their hearing aids set in the default omnidirectional mode. Success with directional microphone hearing aids in everyday living, therefore, cannot be reliably predicted by the magnitude of the directional advantage obtained in the clinic."
"15506496","Predicting success with hearing aids in everyday living.","Persons with impaired hearing who are candidates for amplification are not all equally successful with hearing aids in daily living. Having the ability to predict success with amplification in everyday life from measures that can be obtained during an initial evaluation of the patient's candidacy would result in greater patient satisfaction with hearing aids and more efficient use of clinical resources. This study investigated the relationship between various demographic and audiometric measures, and two measures of hearing aid success in 50 hearing aid wearers. Audiometric predictors included measures of audibility and suprathreshold distortion. The unaided and aided signal-to-noise ratio (SNR) loss on the QuickSIN test provided the best predictors of hearing aid success in daily living. However, much of this predictive relationship appeared attributable to the patient's age."
"15372170","[Identifying factors before the provision of hearing aids. Results from a pilot study].","OBJECTIVE: Systematic research on factors before the provision of hearing aids is scarce. In order to identify parameters which promote or impede the use of hearing aids, a questionnaire-based survey was conducted.SUBJECTS AND METHODS: A total of 35 randomly chosen, hard of hearing adults indicated for a hearing aid were examined. The importance of speech in quiet and in noise, wearing comfort, sound quality, appearance and costs, as well as expectations, willingness to use a hearing aid and reasons for and against provision were determined.RESULTS: Speech in noise and quiet were most important, followed by comfort of wearing and appearance of the aid. Expectations towards the hearing aids were in general high. The willingness to use hearing devices was positively affected by the expectation that it would improve quality of life and negatively by the amount of social activity of the person. The main reasons against the use of hearing aids were appearance and lack of confidence in hearing aid technology.CONCLUSIONS: This pilot-study identified several parameters which might affect willingness to use hearing aids. In particular, expectations towards the aids, personal attitude towards hearing and communication problems and the appearance of hearing aids should be subject to further examination."
"15316629","[Check of hearing aid fitting].","A qualified hearing aid fitting is only possible if the ENT doctor not only prescribes the device, but also conscientiously checks the comparative adjustments made by the hearing aid acoustician. In deciding, which of the tested hearing aids achieves the best and most appropriate improvement of hearing, the physician should first thoroughly study the acoustician's fitting protocol, which contains comparative results of all devices tested. The subjective satisfaction of the patient with his hearing aid can be determined in a detailed conversation or with a special questionnaire. The examination of the otoplastic is as necessary as the improvement of speech discrimination under free field conditions, especially with additional noise. With in situ measurement, the individual transmission characteristics of the hearing aid and the otoplastic are tested in a few minutes. Conscientious control of the fitted hearing aid is only possible with loudness scaling. The scaling function shows clearly whether the fitted aid has adequate amplification, is not too loudly adjusted, and whether the field of pleasant hearing has been considered."
"15250124","Comparison of three procedures for initial fitting of compression hearing aids. III. Inexperienced versus experienced users.","We assessed whether gain requirements differ for experienced users and new users when fitted with multi-band compression hearing aids Three procedures for initial fitting were used: the Cambridge method for loudness equalization (CAMEQ), the Cambridge method for loudness restoration (CAMREST), and the desired sensation level input/output (DSL[i/o]) method. Twenty experienced hearing aid users and 20 new users with mild-to-severe sensorineural loss were fitted with Danalogic 163D digital hearing aids, using each procedure in turn in a counter-balanced order. The new users were given a pre-fitting with slightly reduced gains prior to the 'formal' fitting. Immediately after formal fitting with a given procedure, and 1 week after fitting, the gains were adjusted by the minimum amount necessary to achieve acceptable fittings. The amount of adjustment required provided the main measure of the adequacy of the initial fitting. On average, new users required decreases in gain for all procedures, the decreases being larger for DSL[i/o] than for CAMEQ or CAMREST. For experienced users, gain adjustments were small for CAMEQ and CAMREST, but were larger and mostly negative for DSL[i/o]. After these gain adjustments, users wore the aids for at least 3 weeks before filling out the Abbreviated Profile of Hearing Aid Benefit (APHAB) questionnaire and taking part in laboratory measurements of the speech reception threshold (SRT) for sentences in quiet and in steady and fluctuating background noise at levels of 60 and 75 dBSPL. The scores on the APHAB test and the SRTs did not differ significantly for the three procedures. We conclude that the CAMEQ and CAMREST procedures provide more appropriate initial fittings than DSL[i/o]. For inexperienced users, gains typically need to be reduced by about 3dB relative to those prescribed by CAMEQ or CAMREST, although the amount of reduction may depend on hearing loss. An analysis of gain adjustments as a function of order of testing provided some evidence for increased tolerance to high-frequency amplification with increasing experience during the 4-month course of the trial, but this effect did not differ for the experienced and new users."
